n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,defense,lambda,adaptive,usage
48.0,0.23072916666666665,0.16606549985583458,0.48571428571428565,0.29426568756432403,0.48571428571428565,0.7051282051282052,0.75,0.4916666666666667,0.03333333333333333,1.2284903591972303,multi_query,0.0,True,0.9999999972635985
48.0,0.24583333333333332,0.1880658760243505,0.5,0.31127812445913283,0.5,0.8988095238095238,0.9375,0.75,0.020833333333333332,1.324728374982631,multi_query,0.25,True,0.9957155439387732
48.0,0.26875,0.19637121785109365,0.5,0.31127812445913283,0.5,0.954954954954955,0.9375,0.8416666666666667,0.016666666666666666,1.3616794665739265,multi_query,0.5,True,0.9847439116146638
48.0,0.27708333333333335,0.20120736754605564,0.495,0.30532377154594975,0.495,0.9617117117117118,1.0,0.875,0.012500000000000002,1.3763077894463323,multi_query,1.0,True,0.9516504078214747
48.0,0.3687500000000001,0.2741183197470713,0.5,0.3112781244591328,0.5,1.0,1.0,0.9541666666666666,0.004166666666666667,1.3900480085947269,multi_query,2.0,True,0.8749849135136709
48.0,0.3979166666666667,0.3077597724147005,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4344685260686123,multi_query,4.0,True,0.7552979388590342
48.0,0.0625,0.07692307692307693,0.5,0.3112781244591328,0.5,nan,0.0,0.0,0.08333333333333333,22.592684392333,manifold,0.0,True,0.9999999972635985
48.0,0.1875,0.13009953493531026,0.48571428571428565,0.29426568756432403,0.48571428571428565,0.9166666666666666,0.5,0.4000000000000001,0.049999999999999996,23.147357462814114,manifold,0.25,True,0.9957155439387732
48.0,0.25625000000000003,0.19957181436753219,0.5,0.31127812445913283,0.5,0.9259259259259259,0.75,0.6749999999999999,0.020833333333333332,24.850722777556523,manifold,0.5,True,0.9847439116146638
48.0,0.29374999999999996,0.22194784660524797,0.5,0.31127812445913283,0.5,0.9696969696969697,0.9375,0.8500000000000001,0.020833333333333332,29.41639771029814,manifold,1.0,True,0.9516504078214747
48.0,0.3625,0.2652706187608705,0.5,0.3112781244591328,0.5,1.0,1.0,0.9625,0.0,39.84825087755542,manifold,2.0,True,0.8749849135136709
48.0,0.39375,0.3018633437609767,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,63.65284612442596,manifold,4.0,True,0.7552979388590342
48.0,0.09999999999999999,0.049860713605661584,0.47142857142857136,0.28956534105208576,0.47142857142857136,0.75,0.5625,0.425,0.05833333333333334,23.856189930438997,repr_conserving,0.0,True,0.9999999972635985
48.0,0.13749999999999998,0.07709059616421779,0.5,0.31127812445913283,0.5,0.75,0.9375,0.6999999999999998,0.041666666666666664,25.356180644035334,repr_conserving,0.25,True,0.9957155439387732
48.0,0.20624999999999996,0.12171311248626071,0.47619047619047616,0.2905240326851882,0.47619047619047616,0.85,0.9375,0.775,0.03333333333333333,27.161174738407137,repr_conserving,0.5,True,0.9847439116146638
48.0,0.20625000000000002,0.10739240037343219,0.48571428571428565,0.29426568756432403,0.48571428571428565,0.8333333333333334,1.0,0.8125,0.029166666666666664,31.377482271194456,repr_conserving,1.0,True,0.9516504078214747
48.0,0.2625,0.18708662958326155,0.47619047619047616,0.2905240326851882,0.47619047619047616,0.75,1.0,0.9,0.008333333333333333,39.490278124809265,repr_conserving,2.0,True,0.8749849135136709
48.0,0.325,0.2614937817475025,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,62.335667419433584,repr_conserving,4.0,True,0.7552979388590342
