attack,retriever,defense,epsilon,stratum,n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score
clean,bm25,multi_query,,bbq-disability,12,0.008333333333333331,0.0,0.4666666666666666,0.2715824383712457,0.4666666666666666,nan,nan,nan,0.06666666666666667,1.3738095238095236
clean,bm25,multi_query,,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.14814814814814814,nan,nan,0.08333333333333333,1.3783333333333332
clean,bm25,multi_query,,stereoset-age,12,0.05833333333333334,0.0005754931866147231,0.395,0.22423401254302763,0.395,0.0,nan,nan,0.06666666666666667,1.4092340067340068
clean,bm25,multi_query,,stereoset-race,12,0.037500000000000006,0.0046554407685663185,0.4444444444444445,0.26285191031992877,0.4444444444444445,0.11111111111111112,nan,nan,0.08333333333333333,1.3416666666666666
clean,bm25,repr_both,1.0,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_both,1.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,repr_both,1.0,stereoset-age,12,0.0,0.0,0.43333333333333335,0.23188675228335848,0.43333333333333335,0.0,nan,nan,0.08333333333333333,4.161527067594888
clean,bm25,repr_both,1.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.7809183221420914
clean,bm25,vanilla,,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,vanilla,,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,vanilla,,stereoset-age,12,0.0,0.0,0.3666666666666667,0.2099518018929132,0.3666666666666667,0.0,nan,nan,0.08333333333333333,4.161527067594888
clean,bm25,vanilla,,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.7809183221420914
clean,st,manifold,,bbq-disability,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.08333333333333333,0.4890948247466229
clean,st,manifold,,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.11666666666666668,0.19037760491248465
clean,st,manifold,,stereoset-age,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.13333333333333333,0.6548820795460264
clean,st,manifold,,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.05000000000000001,0.9018894582986832
clean,st,multi_query,,bbq-disability,12,0.10208333333333335,0.03458645827323698,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,1.2569812801720692
clean,st,multi_query,,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.09999999999999999,1.2225174110236512
clean,st,multi_query,,stereoset-age,12,0.049999999999999996,0.02700788653640003,0.48333333333333334,0.2914302814151893,0.48333333333333334,0.0,nan,nan,0.09999999999999999,1.2410663367503239
clean,st,multi_query,,stereoset-race,12,0.225,0.13771562410176807,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.06666666666666667,1.1578256812243373
clean,st,repr_both,1.0,bbq-disability,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.08333333333333333,0.8805404603481293
clean,st,repr_both,1.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.11666666666666668,0.9098270237445831
clean,st,repr_both,1.0,stereoset-age,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.13333333333333333,0.9013955891132355
clean,st,repr_both,1.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.05000000000000001,0.9018894582986832
clean,st,vanilla,,bbq-disability,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.08333333333333333,0.8805404603481293
clean,st,vanilla,,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.11666666666666668,0.9098270535469055
clean,st,vanilla,,stereoset-age,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.13333333333333333,0.9013956040143967
clean,st,vanilla,,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.05000000000000001,0.9018894731998444
template,bm25,multi_query,,bbq-disability,24,0.20833333333333334,0.1268990955432883,0.5,0.3112781244591328,0.5,1.0,1.0,0.9166666666666666,0.0,1.3288351894255683
template,bm25,multi_query,,bbq-gender,24,0.08333333333333331,0.0161385586362952,0.5,0.3112781244591328,0.5,0.6851851851851852,0.75,0.6666666666666666,0.0,1.3809697306564865
template,bm25,multi_query,,stereoset-age,24,0.14583333333333334,0.06743566383992344,0.5,0.3112781244591328,0.5,0.6111111111111112,0.5,0.2916666666666667,0.05833333333333333,1.3522839962561957
template,bm25,multi_query,,stereoset-race,24,0.1486111111111111,0.03170856808066781,0.5,0.31127812445913283,0.5,0.6666666666666666,0.75,0.65,0.0,1.326889742829219
template,bm25,repr_both,1.0,bbq-disability,24,0.55,0.9024966367527468,0.5,0.3112781244591328,0.5,1.0,1.0,0.975,0.0,6.39568180822274
template,bm25,repr_both,1.0,bbq-gender,24,0.23750000000000002,0.21075613322112874,0.43333333333333335,0.260614963176023,0.43333333333333335,0.0,0.75,0.6749999999999999,0.0,9.255256993107674
template,bm25,repr_both,1.0,stereoset-age,24,0.42500000000000004,0.4716599401721604,0.4666666666666667,0.2715824383712456,0.4666666666666667,0.0,0.5,0.375,0.03333333333333333,4.5117347703615485
template,bm25,repr_both,1.0,stereoset-race,24,0.25,0.15213944285747713,0.5,0.31127812445913283,0.5,0.0,0.75,0.725,0.0,5.9347538690489
