n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate
48.0,0.0,0.0,0.4666666666666667,0.2859465438175779,0.4666666666666667,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,vanilla,,
48.0,0.02604166666666667,0.001695686886175787,0.4481981981981983,0.26560975134132675,0.4481981981981983,0.09876543209876543,nan,nan,0.075,1.3757608826358825,clean,bm25,multi_query,,
48.0,0.0,0.0,0.4666666666666667,0.2859465438175779,0.4666666666666667,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_group,1.0,
48.0,0.0,0.0,0.4666666666666667,0.2859465438175779,0.4666666666666667,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_group,0.5,
48.0,0.012499999999999999,0.009002628845466676,0.5,0.3112781244591328,0.5,0.025,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_group,0.25,
48.0,0.05000000000000001,0.025512992231615197,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_group,0.1,
48.0,0.05000000000000001,0.025512992231615197,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_group,0.0,
48.0,0.025000000000000005,0.019704399805002333,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_stance,1.0,
48.0,0.025000000000000005,0.019704399805002333,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_stance,0.5,
48.0,0.025000000000000005,0.019704399805002333,0.4166666666666667,0.23863880325032666,0.4166666666666667,0.05,nan,nan,0.075,5.047132853339494,clean,bm25,repr_stance,0.25,
48.0,0.025000000000000005,0.019704399805002333,0.4166666666666667,0.23863880325032666,0.4166666666666667,0.04999999999999998,nan,nan,0.07083333333333335,5.047132853339494,clean,bm25,repr_stance,0.1,
48.0,0.025000000000000005,0.019704399805002333,0.4166666666666667,0.23863880325032666,0.4166666666666667,0.04999999999999998,nan,nan,0.07083333333333335,5.047132853339494,clean,bm25,repr_stance,0.0,
48.0,0.0,0.0,0.4833333333333333,0.29143028141518923,0.4833333333333333,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_both,1.0,
48.0,0.0,0.0,0.4833333333333333,0.29143028141518923,0.4833333333333333,0.0,nan,nan,0.08333333333333333,5.047132853339494,clean,bm25,repr_both,0.5,
48.0,0.012499999999999999,0.009002628845466676,0.4444444444444444,0.2628519103199287,0.4444444444444444,0.10833333333333334,nan,nan,0.075,5.047132853339494,clean,bm25,repr_both,0.25,
48.0,0.025000000000000005,0.019704399805002333,0.4166666666666667,0.23863880325032666,0.4166666666666667,0.04999999999999998,nan,nan,0.07083333333333335,5.047132853339494,clean,bm25,repr_both,0.1,
48.0,0.025000000000000005,0.019704399805002333,0.4166666666666667,0.23863880325032666,0.4166666666666667,0.04999999999999998,nan,nan,0.07083333333333335,5.047132853339494,clean,bm25,repr_both,0.0,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,vanilla,,
48.0,0.10833333333333334,0.013981922266724966,0.4945945945945946,0.3048409861746106,0.4945945945945946,0.06790123456790123,nan,nan,0.05416666666666666,1.313125,clean,dense,multi_query,,
48.0,0.2875,0.2955830753485806,0.5,0.3112781244591328,0.5,nan,nan,nan,0.06666666666666667,0.130591571192787,clean,dense,manifold,,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_group,1.0,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_group,0.5,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_group,0.25,
48.0,0.012500000000000002,0.003485155455967723,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_group,0.1,
48.0,0.012500000000000002,0.003485155455967723,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_group,0.0,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_stance,1.0,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_stance,0.5,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_stance,0.25,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_stance,0.1,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_stance,0.0,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_both,1.0,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_both,0.5,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_both,0.25,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_both,0.1,
48.0,0.0,0.0,0.5,0.3112781244591328,0.5,0.0,nan,nan,0.06666666666666667,0.48705770433464607,clean,dense,repr_both,0.0,
48.0,0.14375000000000002,0.040109740080559536,0.5,0.3112781244591328,0.5,0.5416666666666666,0.6875,0.5125000000000001,0.016666666666666666,6.645395109897855,template,bm25,vanilla,,0.001
48.0,0.13854166666666665,0.03451205148776353,0.4945945945945946,0.3048409861746106,0.4945945945945946,0.5047619047619047,0.6875,0.45,0.020833333333333332,1.3765071623722047,template,bm25,multi_query,,0.001
48.0,0.14375000000000002,0.040109740080559536,0.5,0.3112781244591328,0.5,0.5416666666666666,0.6875,0.5125000000000001,0.016666666666666666,6.645395109897855,template,bm25,repr_group,1.0,0.001
48.0,0.14375000000000002,0.040109740080559536,0.5,0.3112781244591328,0.5,0.5416666666666666,0.6875,0.5125000000000001,0.016666666666666666,6.645395109897855,template,bm25,repr_group,0.5,0.001
48.0,0.14375000000000002,0.040109740080559536,0.5,0.3112781244591328,0.5,0.5416666666666666,0.6875,0.5125000000000001,0.016666666666666666,6.645395109897855,template,bm25,repr_group,0.25,0.001
48.0,0.18125,0.058121045592721556,0.5,0.3112781244591328,0.5,0.5,0.6875,0.5125000000000001,0.016666666666666666,6.645395109897855,template,bm25,repr_group,0.1,0.001
48.0,0.18125,0.058121045592721556,0.5,0.3112781244591328,0.5,0.5,0.6875,0.5125000000000001,0.016666666666666666,6.645395109897855,template,bm25,repr_group,0.0,0.001
48.0,0.1625,0.13080236603338186,0.5,0.31127812445913283,0.5,0.22727272727272727,0.6875,0.45,0.024999999999999998,6.433979621691648,template,bm25,repr_stance,1.0,0.001
48.0,0.1625,0.13080236603338186,0.5,0.31127812445913283,0.5,0.22727272727272727,0.6875,0.45,0.024999999999999998,6.433979621691648,template,bm25,repr_stance,0.5,0.001
48.0,0.15,0.12010059507384623,0.47619047619047616,0.2905240326851882,0.47619047619047616,0.40151515151515155,0.6875,0.4875,0.016666666666666666,6.538229836115572,template,bm25,repr_stance,0.25,0.001
48.0,0.15,0.12010059507384623,0.47619047619047616,0.2905240326851882,0.47619047619047616,0.3787878787878788,0.6875,0.4875,0.016666666666666666,6.538229836115572,template,bm25,repr_stance,0.1,0.001
48.0,0.15,0.12010059507384623,0.47619047619047616,0.2905240326851882,0.47619047619047616,0.3787878787878788,0.6875,0.4875,0.016666666666666666,6.538229836115572,template,bm25,repr_stance,0.0,0.001
48.0,0.17500000000000002,0.15280279898831778,0.4642857142857143,0.28904397271205196,0.4642857142857143,0.15,0.6875,0.43750000000000006,0.024999999999999998,6.375260921262233,template,bm25,repr_both,1.0,0.001
48.0,0.17500000000000002,0.15280279898831778,0.4642857142857143,0.28904397271205196,0.4642857142857143,0.15,0.6875,0.43750000000000006,0.024999999999999998,6.375260921262233,template,bm25,repr_both,0.5,0.001
48.0,0.1625,0.12300489128715264,0.47619047619047616,0.2905240326851882,0.47619047619047616,0.446969696969697,0.625,0.47500000000000003,0.016666666666666666,6.531089757884479,template,bm25,repr_both,0.25,0.001
48.0,0.15,0.12010059507384623,0.47619047619047616,0.2905240326851882,0.47619047619047616,0.3787878787878788,0.6875,0.4875,0.016666666666666666,6.538229836115572,template,bm25,repr_both,0.1,0.001
48.0,0.15,0.12010059507384623,0.47619047619047616,0.2905240326851882,0.47619047619047616,0.3787878787878788,0.6875,0.4875,0.016666666666666666,6.538229836115572,template,bm25,repr_both,0.0,0.001
48.0,0.049999999999999996,0.015167926521187942,0.5,0.3112781244591328,0.5,0.2833333333333333,0.4375,0.27499999999999997,0.03333333333333333,0.5060650089382362,template,dense,vanilla,,0.001
48.0,0.12395833333333332,0.026820369180980113,0.5,0.3112781244591328,0.5,0.21264367816091953,0.5625,0.22916666666666666,0.041666666666666664,1.2991887876173083,template,dense,multi_query,,0.001
48.0,0.2875,0.2955830753485806,0.5,0.3112781244591328,0.5,nan,0.0,0.0,0.07083333333333335,0.12838458319682292,template,dense,manifold,,0.001
48.0,0.049999999999999996,0.015167926521187942,0.5,0.3112781244591328,0.5,0.2833333333333333,0.4375,0.27499999999999997,0.03333333333333333,0.5060650089382362,template,dense,repr_group,1.0,0.001
48.0,0.049999999999999996,0.015167926521187942,0.5,0.3112781244591328,0.5,0.2833333333333333,0.4375,0.27499999999999997,0.03333333333333333,0.5060650089382362,template,dense,repr_group,0.5,0.001
48.0,0.049999999999999996,0.015167926521187942,0.5,0.3112781244591328,0.5,0.2833333333333333,0.4375,0.27499999999999997,0.03333333333333333,0.5060650089382362,template,dense,repr_group,0.25,0.001
48.0,0.06249999999999999,0.018653081977155664,0.5,0.3112781244591328,0.5,0.2833333333333333,0.4375,0.27499999999999997,0.03333333333333333,0.5060650089382362,template,dense,repr_group,0.1,0.001
48.0,0.06249999999999999,0.018653081977155664,0.5,0.3112781244591328,0.5,0.2833333333333333,0.4375,0.27499999999999997,0.03333333333333333,0.5060650089382362,template,dense,repr_group,0.0,0.001
48.0,0.0375,0.016749912063313152,0.5,0.31127812445913283,0.5,0.2,0.4375,0.225,0.0375,0.5014076758872866,template,dense,repr_stance,1.0,0.001
48.0,0.0375,0.016749912063313152,0.5,0.31127812445913283,0.5,0.2,0.4375,0.225,0.0375,0.5014076758872866,template,dense,repr_stance,0.5,0.001
48.0,0.0375,0.016749912063313152,0.5,0.31127812445913283,0.5,0.25,0.4375,0.23750000000000002,0.0375,0.5035470646147573,template,dense,repr_stance,0.25,0.001
48.0,0.0375,0.016749912063313152,0.5,0.31127812445913283,0.5,0.25,0.4375,0.23750000000000002,0.0375,0.5035470646147573,template,dense,repr_stance,0.1,0.001
48.0,0.0375,0.016749912063313152,0.5,0.31127812445913283,0.5,0.25,0.4375,0.23750000000000002,0.0375,0.5035470646147573,template,dense,repr_stance,0.0,0.001
48.0,0.0625,0.05111463049094323,0.48181818181818176,0.289625932047558,0.48181818181818176,0.1111111111111111,0.4375,0.1625,0.05416666666666666,0.4959256748953971,template,dense,repr_both,1.0,0.001
48.0,0.0625,0.05111463049094323,0.48181818181818176,0.289625932047558,0.48181818181818176,0.1111111111111111,0.4375,0.1625,0.05416666666666666,0.4959256748953971,template,dense,repr_both,0.5,0.001
48.0,0.031249999999999997,0.012262985966654805,0.5,0.31127812445913283,0.5,0.25,0.4375,0.225,0.041666666666666664,0.5026632543301893,template,dense,repr_both,0.25,0.001
48.0,0.031249999999999997,0.012262985966654805,0.5,0.31127812445913283,0.5,0.25,0.4375,0.225,0.041666666666666664,0.5026632543301893,template,dense,repr_both,0.1,0.001
48.0,0.0375,0.016749912063313152,0.5,0.31127812445913283,0.5,0.25,0.4375,0.23750000000000002,0.0375,0.5035470646147573,template,dense,repr_both,0.0,0.001
48.0,0.16874999999999998,0.1324252681251151,0.5,0.3112781244591328,0.5,0.625,0.75,0.6375000000000001,0.016666666666666666,6.965174635128363,template,bm25,vanilla,,0.0025
48.0,0.1552083333333333,0.12202575029983803,0.5,0.31127812445913283,0.5,0.6157407407407407,0.75,0.5666666666666668,0.016666666666666666,1.3589043707996484,template,bm25,multi_query,,0.0025
48.0,0.16874999999999998,0.1324252681251151,0.5,0.3112781244591328,0.5,0.625,0.75,0.6375000000000001,0.016666666666666666,6.965174635128363,template,bm25,repr_group,1.0,0.0025
48.0,0.16874999999999998,0.1324252681251151,0.5,0.3112781244591328,0.5,0.625,0.75,0.6375000000000001,0.016666666666666666,6.965174635128363,template,bm25,repr_group,0.5,0.0025
48.0,0.14375000000000002,0.12698770592890074,0.5,0.3112781244591328,0.5,0.625,0.75,0.6375000000000001,0.016666666666666666,6.90942047127544,template,bm25,repr_group,0.25,0.0025
48.0,0.16875000000000004,0.13279629835551363,0.5,0.3112781244591328,0.5,0.625,0.75,0.6375000000000001,0.016666666666666666,6.90942047127544,template,bm25,repr_group,0.1,0.0025
48.0,0.19375,0.13279629835551363,0.5,0.3112781244591328,0.5,0.625,0.75,0.6375000000000001,0.016666666666666666,6.752372640916913,template,bm25,repr_group,0.0,0.0025
48.0,0.15,0.13414557213823572,0.5,0.3112781244591328,0.5,0.4444444444444444,0.75,0.5375,0.016666666666666666,6.789544399511649,template,bm25,repr_stance,1.0,0.0025
48.0,0.15,0.13414557213823572,0.5,0.3112781244591328,0.5,0.4444444444444444,0.75,0.5375,0.016666666666666666,6.789544399511649,template,bm25,repr_stance,0.5,0.0025
