n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,defense,lambda,adaptive,usage
16.0,0.16875,0.052283819702333985,0.48666666666666664,0.29539985002397795,0.48666666666666664,0.462962962962963,0.6875,0.3375,0.1875,1.3102715398161848,multi_query,0.0,True,1.0000000131749056
16.0,0.28125,0.15445387889633863,0.5,0.31127812445913283,0.5,0.6547619047619049,1.0,0.6625,0.0875,1.3896728803696274,multi_query,1.0,True,0.9539278566127685
16.0,0.38125000000000003,0.3401874791068819,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.444924846341003,multi_query,4.0,True,0.7482165903900704
16.0,0.1875,0.1662980217639471,0.5,0.31127812445913283,0.5,0.0,0.0625,0.0125,0.25,22.996138196389104,manifold,0.0,True,1.0000000131749056
16.0,0.28125,0.17713112658379615,0.5,0.31127812445913283,0.5,0.6666666666666667,1.0,0.6125,0.15,28.16618535348572,manifold,1.0,True,0.9539278566127685
16.0,0.38750000000000007,0.3401874791068819,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,66.49037120742587,manifold,4.0,True,0.7482165903900704
16.0,0.14791666666666667,0.0496165825547088,0.5,0.31127812445913283,0.5,0.20833333333333334,0.5625,0.275,0.2,24.00017100572586,repr_conserving,0.0,True,1.0000000131749056
16.0,0.246875,0.12019863293828154,0.5,0.3112781244591328,0.5,0.24242424242424246,1.0,0.6625000000000001,0.08750000000000001,29.86445857286453,repr_conserving,1.0,True,0.9539278566127685
16.0,0.353125,0.15097463268984837,0.5,0.31127812445913283,0.5,0.6,1.0,0.875,0.025,62.116493093967435,repr_conserving,4.0,True,0.7482165903900704
